class id,filepaths,labels,data set,scientific name
0,train/AFRICAN LEOPARD/001.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/002.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/003.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/004.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/005.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/006.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/007.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/008.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/009.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/010.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/011.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/012.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/013.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/014.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/015.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/016.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/017.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/018.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/019.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/020.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/021.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/022.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/023.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/024.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/025.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/026.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/027.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/028.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/029.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/030.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/031.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/032.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/033.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/034.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/035.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/036.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/037.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
0,train/AFRICAN LEOPARD/038.jpg,AFRICAN LEOPARD,train,Panthera pardus pardus
